ID,Key Generated,Entropy Value,Basis Kind
430,Quantum Key: 49e73c1fe6e969ceaccb4bdc4256d7e6e5fbc7afb7795624733d722e236935e7,Entropy: 1.18 bits,ellipse,rect
431,Quantum Key: f291a5e9b2e1cbbea2897b7bdb9ec81fcfafcbaa8bc37d0c81f95ee38ecb4572,Entropy: 1.26 bits,rect,circle
432,Quantum Key: 6d2559cc5387942b3f66380113be3c24579ca14492c44b9fccc066e7fa938b1f,Entropy: 1.25 bits,ellipse,circle
433,Quantum Key: 26dc847fe626aadbe939f9c946bacdbc00b7c42402f7e513afdd1b735936d425,Entropy: 1.14 bits,circle,circle
434,Quantum Key: 7b1a95e9bf770a75cfc12aa099dcd87c4260a31a0a4d6637842a5693e2e833f2,Entropy: 1.26 bits,rect,ellipse
435,Quantum Key: 124eb4a4f873de2bbf11775ae817e7bbec9c2ffa9782d8f923c7e6325873f9b8,Entropy: 1.31 bits,circle,rect
436,Quantum Key: 1a4566a00103198304f955621c57a46aeefb3d9256ca13179ccb79935b279db0,Entropy: 1.27 bits,circle,rect
437,Quantum Key: e78b6968d6f3e4ff18654f65f310256546ea65b42e18c66a2e76bbceaf4847f6,Entropy: 1.39 bits,ellipse,ellipse
438,Quantum Key: 798f7c9ba7a36b9e3f863dfdbc34adf3a38bebb9a14068e186579ad26190147f,Entropy: 1.30 bits,rect,circle
439,Quantum Key: 63a0c58cce3a6da4943c1a7cc23e3d4113a33e9dea7d980a496ea943a76e7d09,Entropy: 1.13 bits,circle,rect
440,Quantum Key: 0070ca5ee2157b6f4c493ed4990b20397c071af04d2e3b43a41ec6acca0f700c,Entropy: 1.13 bits,circle,rect
441,Quantum Key: 3f60c60f3d75e588241c6f8fafe5886d79845cb2bb3c7a72ec25461afa04da5a,Entropy: 1.30 bits,rect,circle
442,Quantum Key: c6cb67a27eaa59a3641d2ca86dbc6cd2da9be887dee49e7c40441a62b6ea1b70,Entropy: 1.20 bits,rect,rect
443,Quantum Key: a8d9809185828ae291bee5ffc2578de3d8165d57e6b61bdb872a2b93e6329b47,Entropy: 1.28 bits,ellipse,ellipse
444,Quantum Key: 5ac60493ce154fe56d2eca70052a5e58a1277a7e8b6ca136c4414af0aed5196e,Entropy: 1.21 bits,rect,circle
445,Quantum Key: 285b5855eb2b43c3e824a678ebfa1cf6a60ffad0d95cf4a3be0c55d2b5e7b760,Entropy: 1.11 bits,circle,circle
446,Quantum Key: 44dedcd661bd9ed7b0f35acb246f28c4de93f68fdc3e6e7d34f05b9d124e29e4,Entropy: 1.22 bits,circle,ellipse
447,Quantum Key: 15bf6779a9b398eadebc3561dcf398d2d3c4f886873759776ea0fa6bb05b7ffc,Entropy: 1.13 bits,ellipse,circle
448,Quantum Key: a98a3d426e80060d4443d0bd6d8f9af2cdaedaf18c22034d63a7499185bf9224,Entropy: 1.21 bits,circle,ellipse
449,Quantum Key: edca08071ef7cfde6e52d7e64aa7f92861b7e2c93a20bff8dca19bf9722e9863,Entropy: 1.25 bits,circle,rect
450,Quantum Key: 95cbb152c96d7b4007972f10713339611c15b1f17ef34fd1b8ed02e0144c4765,Entropy: 1.25 bits,circle,ellipse
451,Quantum Key: cedd1dee2280f65a2e992d0a1c06d2dd237c4a4e5b0519c1dc49ba6699f39680,Entropy: 1.24 bits,rect,rect
452,Quantum Key: 333de5bc25893fac93cba6a6cc79758f105b5bc43ae32a5b43b9e2b3836430a0,Entropy: 1.24 bits,rect,circle
453,Quantum Key: 38edbea3e550096b34b612c59147bab6bb90e69bdf305a32533fd30fc2df5ecc,Entropy: 1.05 bits,ellipse,ellipse
454,Quantum Key: d2d3c33ca87bff97342ccd39e42448ccb780340e6d3605590bc71722e33e50ac,Entropy: 1.31 bits,circle,circle
455,Quantum Key: 9aec83c4ad3c0d94916088953c5112e5319f98ab21472bc4c618d4363444a9e1,Entropy: 1.26 bits,rect,ellipse
456,Quantum Key: d6286fe3f556448f9f7180f14a6aef6d18e24899f88a3c830f2821a7005f2fac,Entropy: 1.24 bits,circle,rect
457,Quantum Key: d0ce4c86312fb83492bc5be48299af82ca28d93434e40a00a9e99388f6485289,Entropy: 1.34 bits,ellipse,ellipse
458,Quantum Key: 741f9be679535a8accf9b1a518c6e8a23c6bec1751f1ab7ea1dd54f64127edf3,Entropy: 1.39 bits,rect,rect
459,Quantum Key: 091f6d194990224e27873878669dd979f1b5047c0300ddccec3edc9dcdf9d98e,Entropy: 1.25 bits,circle,ellipse
460,Quantum Key: ae947b694165b9472699c3db6dbcf53e955d821e4e58bf4c2d8856d9462d4517,Entropy: 1.18 bits,circle,ellipse
461,Quantum Key: e0f553cf8c459d27f9ca174a6466a5564ed741be21e01e58e6a4f9475a6eb605,Entropy: 1.24 bits,circle,rect
462,Quantum Key: f29f006c46353c9d79d065e11102d10d0756ffc376d869a7ea6f6e94ff0dd220,Entropy: 1.40 bits,rect,ellipse
463,Quantum Key: 0ff519931b37751384b16498b2a935b549acbc9c7f5ed7ace8958d6e915a62c9,Entropy: 1.31 bits,ellipse,circle
464,Quantum Key: a060c41b437e6b34ef71ac39380547729cbadeadd46cfc7ca0229eb7248c5bd7,Entropy: 1.34 bits,ellipse,rect
465,Quantum Key: c172275ac9a56168c0b93f40331f56e77252be90bf617e2a62d9ad078fb4fdbf,Entropy: 1.22 bits,circle,ellipse
466,Quantum Key: 27198947b6e59172c29252da9421994bdf7a82ac102783304977532d963fc64c,Entropy: 1.21 bits,rect,circle
467,Quantum Key: 7d6f24beb51bf29287a3fb3a02d89017f25e1ec77b9116f673961a64a22643d9,Entropy: 1.20 bits,circle,rect
468,Quantum Key: 9c8b943872a5eb5b4f5c1f509757ec3dd73163b3640472c694501a0c56cbce37,Entropy: 1.21 bits,ellipse,circle
469,Quantum Key: 75fdb7eb3e1a363f07e039a1f41d65caa547ee4bd8dc139b3387fba68dc9ffd6,Entropy: 1.22 bits,rect,circle
470,Quantum Key: 6b64fb4d1f0dddc972da576c33fe3dda11dff2bca9c4c10abd5380f2a339e9c5,Entropy: 1.25 bits,rect,circle
471,Quantum Key: 674e5ac784a52856d667aae24d5b57444a9e47c3fbd06622891f609e21eae264,Entropy: 1.12 bits,ellipse,rect
472,Quantum Key: 677d4d55b87aa71d7e19206ef5961f83e180db0364a9eb9a69cae644ddc5f297,Entropy: 1.13 bits,ellipse,ellipse
473,Quantum Key: 1611e3f6ffdf1bce55c4514d8f19f34ddb2f3780823bdd3cc231bc0820149a0a,Entropy: 1.39 bits,circle,rect
474,Quantum Key: 47cd1672279919dcf66d44f5d94b169b12a073b1d28addb8de0153496590192a,Entropy: 1.27 bits,circle,ellipse
475,Quantum Key: 37d971168be41c160a0bd8be8948dace7500f8a53fa23570511a570250c991bb,Entropy: 1.26 bits,rect,rect
476,Quantum Key: e560f0c50d02fc9158045e4bb8057b2e4c88525c851753f6bf1a15f651e1ffd5,Entropy: 1.24 bits,circle,ellipse
477,Quantum Key: f82c81eff42e3ea0d3e83731c834f3888f712bdede3e371d3d0f163ca90d0b04,Entropy: 1.23 bits,ellipse,rect
478,Quantum Key: 47c46293c352572fd64152e9315d80bd28aa36d9bf23bbb0b5f8e2b3c9beca21,Entropy: 1.24 bits,rect,circle
479,Quantum Key: 4ae46178e8561608fc031bab41f98d29c77d108849b1629fa9d867ee2a926e08,Entropy: 1.28 bits,rect,circle
480,Quantum Key: 304122635a6b098001af246854384c2534f4b9f521bb348596a19a3e85c8c1a4,Entropy: 1.31 bits,ellipse,ellipse
481,Quantum Key: ed0d3bd2777ca6aede4ed3a5ad8e6da7161e3356b8405cdc194b0fa05458d229,Entropy: 1.24 bits,rect,ellipse
482,Quantum Key: 259fa390b12558efd9cb7c602649b4121918cfe4fb58daae2fd340fbe31429ec,Entropy: 1.21 bits,rect,circle
483,Quantum Key: 38832ddbf32914c3b21ea49abde07c3e6a461ccad7cd2bb79121f189c1aa68ca,Entropy: 1.26 bits,circle,ellipse
484,Quantum Key: 488cf35770fbd4c117b1d1461e9d2bec5cb35e061c7f90abf45591358c8f0028,Entropy: 1.28 bits,ellipse,circle
485,Quantum Key: 785a6c10e42cbdacf7494d3bffb6542eeb4a76b101057bee9a9b65bfef70a5f0,Entropy: 1.12 bits,ellipse,circle
486,Quantum Key: f1afbe6a12becf17fa1ae1e4fccb32a9f0ddac00a23c85c71d037ec28a67377c,Entropy: 1.11 bits,ellipse,ellipse
487,Quantum Key: 81f045c90cf15661a68a46fafaefece08054cdc91da2dda3f473816960d74a98,Entropy: 1.17 bits,ellipse,circle
488,Quantum Key: 0ab6a94cf4de287e55039be9680ad368f75db249c5634897e74b8d7689168d30,Entropy: 1.46 bits,rect,rect
489,Quantum Key: 075fbb220f23958ca25785343c5b2877fdc98404cd2d40125dd796006a39c86c,Entropy: 1.35 bits,circle,circle
490,Quantum Key: 95f6a2a177dfb482dae5f8705c34928e58519768429abce88690a2997a67f052,Entropy: 1.33 bits,circle,circle
491,Quantum Key: 086fd46cff69c0b64dcc09a4f4412e91cbb12e023418f946c291280fe48ea41d,Entropy: 1.26 bits,ellipse,circle
492,Quantum Key: e8edf20da59bd61e4e728a3de4f6d789e04be88b14ba6f8ffaf8cfa16522bf1a,Entropy: 1.18 bits,ellipse,circle
493,Quantum Key: 66811d2c9b3fd2ddf7367f7a4fa88f95786739cc66518e42a70fa70383c17c8c,Entropy: 1.29 bits,circle,circle
494,Quantum Key: 81513c68bd18ad180b8fa9fa89135eea7b82d710e78219f5b831fad95cc4c9a2,Entropy: 1.21 bits,rect,ellipse
495,Quantum Key: 12f83252bc5ec793862d2707a3379e40120fc7ebc68ec38be60c82509acdcf88,Entropy: 1.19 bits,rect,circle
496,Quantum Key: 48525fefc0ae853eb5fb661fccd9d16881bb7ada8461a95a1fd1ad80b8bea8f4,Entropy: 1.33 bits,rect,rect
497,Quantum Key: 6c88cdcb6d72a750d039b9d55edcf3953d3a188d9b7dee730cd5a8737479cbaf,Entropy: 1.20 bits,ellipse,circle
498,Quantum Key: 48085d6ea4ab59edba367e6ab2f312255b3848820f07e03c40827d0642ba9db7,Entropy: 1.29 bits,rect,rect
499,Quantum Key: 3ba4f1110de59620c3de6beeb8fcb54dc60f2e0679302ae2fe6fe40f365cdbe5,Entropy: 1.24 bits,rect,circle
500,Quantum Key: 0120a538a75fd733236c0aabd1434b78f967b96d4b1786cad09a2f26d11b40ad,Entropy: 1.16 bits,circle,circle
501,Quantum Key: 0cea482e5b6e6d27316ff32906c05e61e2a56cd10fde205c038bf777d45d44cf,Entropy: 1.26 bits,ellipse,circle
502,Quantum Key: 762b09cbd7a55a314202141c862fed236d04a6e413ea92e28e844f60e053806b,Entropy: 1.35 bits,rect,ellipse
503,Quantum Key: 2eeeece9844870e516cb4b3f552a91147265287b7b0c9e38478f915fccea3d11,Entropy: 1.19 bits,circle,rect
504,Quantum Key: 98c9128129fc9ab6899001fb191bf37e7307d7b5327ef9b8879c558d1ff6cabe,Entropy: 1.25 bits,ellipse,rect
505,Quantum Key: 4d2ec2796bb7a7d304b7deef9f8cd3d860d07cce4fe19ab849454b0c35f1d452,Entropy: 1.22 bits,ellipse,rect
506,Quantum Key: 54a899ed5f9e8ee3bc0c8166f3b7bf9aecbba681b1da55a196571ff48cdbab54,Entropy: 1.28 bits,ellipse,rect
507,Quantum Key: 479e7ad33abcb878e8ad0dccac905059efde4d1ad122687f9271cca88162b24d,Entropy: 1.21 bits,ellipse,rect
508,Quantum Key: 44d71a6d01748ce3b0e73a98f944e7e8cc1033344f0c532feb7719162a89ed92,Entropy: 1.27 bits,ellipse,ellipse
509,Quantum Key: 850103819c7b93a042a81cb72288d720c9c02bfd71bf6899fbad87ec94c44ed8,Entropy: 0.98 bits,ellipse,rect
510,Quantum Key: fb90a099ad519b7fa2beb3ec6a5c610cabf78aa79c868f996c07bdbbb6da5ee9,Entropy: 1.23 bits,circle,rect
511,Quantum Key: 6ba2d15302be7679dfbd46e5bcf3dfe7e6b1c5d2838c07d13e56830950c97dd2,Entropy: 1.30 bits,rect,ellipse
512,Quantum Key: 3a483374ecd2d7890d9c9100a9a0e3625500902b0521014820cc230d557707b2,Entropy: 1.40 bits,ellipse,circle
513,Quantum Key: 53f6d777ad299e169fbc270d7424e9ab4a0511152272848aa4999ffc731636d6,Entropy: 1.25 bits,ellipse,ellipse
514,Quantum Key: 1e8cc527baddf5387e8c9880313288a425c81751fc7536eb33dffc198d433044,Entropy: 1.19 bits,circle,rect
515,Quantum Key: d906986dbf70875488f42dddda2c79f2538972f18ae7116dda8d270633da9980,Entropy: 1.25 bits,circle,rect
516,Quantum Key: da6cb32a9cd1c560f7f6f54d81d6ea6fd4b12081406bb5ea9b9cb7828e9c68d6,Entropy: 1.29 bits,rect,ellipse
517,Quantum Key: b5d42d30fcdbc9a6d29936a883c927a37b4f15e41e924f7809bcf82969adb9b2,Entropy: 1.17 bits,rect,rect
518,Quantum Key: 6c493181f44b47fdbe58ed78454d949217e28016bee4ee14d9a88d6f4a9fc712,Entropy: 1.17 bits,circle,ellipse
519,Quantum Key: 15736d717b339d5c27556a1376504db2e7675438351962a8e788b48151ab8b1a,Entropy: 1.35 bits,circle,circle
520,Quantum Key: 1ad56fb6e3d47f032eac73067dccc97031e95e08f27a4ca780c7899c1ae7fe82,Entropy: 1.19 bits,circle,rect
521,Quantum Key: 29ed9843648a48c78ffe87d41250ee5f86b26a11a1f62412447afa8c3ea6e0ae,Entropy: 1.27 bits,rect,rect
522,Quantum Key: 2da7cb2af0c78ad69bb5b6ded36782d88077c4db9042758f4b2154714791ffa6,Entropy: 1.34 bits,rect,ellipse
523,Quantum Key: 389f7a7e9a91c10dce554646ec5e71fdbbd5bf0eb691e91a7a774211b97892fe,Entropy: 1.22 bits,ellipse,ellipse
524,Quantum Key: 912ed3fd1461370553a5d52021e90dea696b5ec43e9cb628ce3a2dba80195fe1,Entropy: 1.25 bits,circle,circle
525,Quantum Key: 37875a169f9570433ac496760826ef1f3904122d18b58c953fdcc551a2195b39,Entropy: 1.30 bits,rect,ellipse
526,Quantum Key: ad0b991c2ddea78dbe7ba8e15f4477471f9fa9f37f4f1fed0672c10c2ccfd576,Entropy: 1.24 bits,rect,ellipse
527,Quantum Key: e5a9db59379ec24358e4b32293b42fb8dd0399bb4674bad0adb28f0da7ef1c13,Entropy: 1.19 bits,rect,circle
528,Quantum Key: 93a7eecf8bd110c14cc7488ef0302a9c2cdb7aa5f6a53b66924fd51cd0dcafb6,Entropy: 1.06 bits,ellipse,ellipse
529,Quantum Key: 756dd3409a87c9e3cd2f6685faeb951ea2c441c057c3310c9d9508696b0dd8ba,Entropy: 1.19 bits,circle,circle
530,Quantum Key: 0857d202260734bb96492d51bca7eba1ffb72f29f3159f3960f70120c128f192,Entropy: 1.29 bits,ellipse,rect
531,Quantum Key: 913e1849438e2d57c9bebf11899d7b1c0923e5c251666ef9c0a49e303d703aab,Entropy: 1.16 bits,rect,rect
532,Quantum Key: 9b4b5924d46f251c6fe16af5a5cd358b030939ab48ad0a6f7ee6fac1b1a6dded,Entropy: 1.27 bits,ellipse,circle
533,Quantum Key: d802f5c0c09e13e605c09df6a7faa7a34707643cacdb5f4fa31fca19c796d8f3,Entropy: 1.37 bits,ellipse,ellipse
534,Quantum Key: 76e90a0e0c81a8e3edec64639a25a91929ecfb3a4df7eac53dfadd6d0148f883,Entropy: 1.27 bits,circle,circle
535,Quantum Key: 0121f4fc2ebfc54994cb77b88b39f93d8d54c93d7aa4a5a6c4369aa1ad766335,Entropy: 1.21 bits,rect,rect
536,Quantum Key: 48b911e409f33c6885eeb6c5ce8a841e80db1a0ad15f438e4bab6874e65bf1ad,Entropy: 1.27 bits,ellipse,rect
537,Quantum Key: 10721234c0b3a1d85859616565ea51b3ee531f14d637ac59c5d4c01e0ca06e6f,Entropy: 1.31 bits,rect,ellipse
538,Quantum Key: 521398610650af02e1f6e477f7d7a0d3bb7f4a859ec00e9d72d46f315e65711a,Entropy: 1.32 bits,ellipse,ellipse
539,Quantum Key: 7a9fcb3482cdcba39ec97ff6bed6b618f16e89ddbdc15a39769108b03c2093ef,Entropy: 1.31 bits,circle,ellipse
540,Quantum Key: 54b740ea54ed7751b948ade96d4a47a11f9b7c4f9b23c2bd0f08d48a05148bbb,Entropy: 1.23 bits,ellipse,ellipse
541,Quantum Key: f47ec5d847a2ad1df0247d2c85d2f7b4685b779001bca26bdaf4ad1288d0705a,Entropy: 1.30 bits,circle,ellipse
542,Quantum Key: e59e0eca7e819ee99292b8a2dbe8fe3f38e458da3847ce8fdd4194d8a64eee31,Entropy: 1.21 bits,circle,ellipse
543,Quantum Key: c5b0f7a4c75582a1b49c62f3653a6761625164544ba146922f62710c95b6b37e,Entropy: 1.05 bits,ellipse,circle
544,Quantum Key: e78f4e67733bbc8e56bfb611109cf057bc8a897a87af5efcd52660c5bf6610cc,Entropy: 1.39 bits,circle,circle
545,Quantum Key: 29415d3551bf0f762fc07dce5b87c974fe6b09583900ddf7216eb3b7d5ec199c,Entropy: 1.21 bits,circle,rect
546,Quantum Key: 3e0c496b741e03fad6b188bb7b00eaf38ddf0bb2c9d93c2bc6bfe9944cc00a05,Entropy: 1.39 bits,rect,rect
547,Quantum Key: de44876ff5b05c8e24adf26ebaa9efe25923b72f813c10c5d31799d0b58b02ed,Entropy: 1.25 bits,rect,rect
548,Quantum Key: 6cce80e4191c99566b52522be6cab9ffb66312fde33b68c720ad59cc56b50296,Entropy: 1.18 bits,rect,rect
549,Quantum Key: 9ed18b590b3850b8c92a01c985aa41f0b06175f38992c8946e65de4c9a96f33f,Entropy: 1.26 bits,ellipse,circle
550,Quantum Key: b02d761bf4c8bafa8f9b350b08a17c94cca5a9690123f55615110a9a0439ac5d,Entropy: 1.45 bits,ellipse,ellipse
551,Quantum Key: 09f4689c98bee072f5571f207e141af4e4b44c5932a23f64accdee4099476d02,Entropy: 1.15 bits,circle,ellipse
552,Quantum Key: 422eb3e46927a3500f0be1214b34e946c0cffca37d9134c220bb70a73eafa158,Entropy: 1.20 bits,ellipse,ellipse
553,Quantum Key: a4a1d144c74c16e31655bb38c10838b31644be5a4f1317f807df1cffb4593180,Entropy: 1.39 bits,circle,ellipse
554,Quantum Key: a85196a2163da6081ae5c6bc0e2f34fa0a5a16b5d69fe71669daa87434171b27,Entropy: 1.24 bits,circle,circle
555,Quantum Key: 81155772d61e06f4217882fee660a0f298fba372781ff7514e4f9cff3dc93ea4,Entropy: 1.15 bits,rect,rect
556,Quantum Key: 51629f74ea6e1f797a4f14143aa3e8c71b66ea2892ddfb1c1d30dd9ceccb296a,Entropy: 1.22 bits,rect,ellipse
557,Quantum Key: eaa267cac94c4c74311c8bcbe864ce452052da485e4fd0992a2807316fd356fc,Entropy: 1.29 bits,rect,circle
558,Quantum Key: afdc3c7c1e5da1ce99426906223786540839fe2c4c2cb52aabf4b21152dd2212,Entropy: 1.34 bits,circle,rect
559,Quantum Key: 329a15b81016c5b4d71ba2fc58caf54b3d4a4fe62f4e49600a955cd3a0b8a2f0,Entropy: 1.25 bits,circle,ellipse
560,Quantum Key: 46a66730b522171ebba92736205da40a79b514c418349774209117bb523c571b,Entropy: 1.27 bits,ellipse,ellipse
561,Quantum Key: 2136d5accf74171d7203f7ce6f7ad020595e7cbd2491297dde46673884615168,Entropy: 1.50 bits,ellipse,circle
562,Quantum Key: 051386a871c571ee5076ced4024bf581922638858743a3e00e8c47faf223afc6,Entropy: 1.42 bits,circle,rect
563,Quantum Key: e45f7b17db6dc5ad7d3dfa17ef0598441a3ae60af5cfcac67fb3b12262e1d12b,Entropy: 1.24 bits,ellipse,circle
564,Quantum Key: 38118e995be5567cc8a60651bb51574ac3d513f88b654056eadb9f2859076b58,Entropy: 1.21 bits,ellipse,rect
565,Quantum Key: dc7dad93576bba16f0a420d9b41c2dad2e350533f240819f26b448387b67ba6b,Entropy: 1.27 bits,rect,circle
566,Quantum Key: 5141bc0310e9d27d91ba7dc45b5ea158fdaa981c20eadf693631946cd0685b98,Entropy: 1.49 bits,ellipse,circle
567,Quantum Key: 70b9a051bc115a8ff0e5eeea1b6542c802a3dbbfd1916a4a2c2f3d44363cb68a,Entropy: 1.14 bits,ellipse,circle
568,Quantum Key: 80f09bb6aff19e42ae9e5be7cc5ba3282febd62af992fdf7fc9890ee1a9ff7fa,Entropy: 1.42 bits,ellipse,ellipse
569,Quantum Key: a35f8505838b223ca1cb3ea992173b4bcf405efa676b9927d8e0cf6dca483a78,Entropy: 1.11 bits,ellipse,ellipse
570,Quantum Key: bc797340ec398abc05c12c3fb458606d8681eb7c2965069591e76db9296b7925,Entropy: 1.21 bits,ellipse,rect
571,Quantum Key: 8481b0a56b80b01957b78f11bc8cf02b1744cfebd7585802dba6f17a3825c47d,Entropy: 1.41 bits,ellipse,ellipse
572,Quantum Key: a1c33abb6db2f4c3f9d1dd883d7f4047035cdec70c23bb4877a36d9820ab330c,Entropy: 1.28 bits,rect,ellipse
573,Quantum Key: 211a7c03db36979185aa8e8b48a0d83d5c638ad52f27889f82560d955489c54b,Entropy: 1.28 bits,ellipse,rect
574,Quantum Key: 999697ce6a78b7ffae32959a37bdd82e74dc0aa077d032649d2e7316133a2203,Entropy: 1.18 bits,ellipse,circle
575,Quantum Key: 7c2333b15da5338615665d97f8c02afb3513ee266ccbaa36a1ce12910d021608,Entropy: 1.26 bits,rect,ellipse
576,Quantum Key: 74f41b503c8409cf15270ec751690c83cb655e1a8e995cba2ad9953557d64d9d,Entropy: 1.11 bits,circle,rect
577,Quantum Key: b35829b75343af61f263977fcc0ee7eb66c7727d77ed26e2848459ab09006fec,Entropy: 1.19 bits,circle,ellipse
578,Quantum Key: 98f038d915cc08b9bac30f4408eb25d9cb9a97e9d359a226e7fe5b4c1a5ad1b3,Entropy: 1.21 bits,ellipse,rect
579,Quantum Key: 78077250b3b8d495e6e19b998b264a6ab1f485a8185cdd3aeac7c13ae1c1e7da,Entropy: 1.19 bits,ellipse,ellipse
580,Quantum Key: 01b6d144f728a4af7b842060241bf804a5147fdcb80a4e5f0b7f640c4a091cf2,Entropy: 1.27 bits,ellipse,circle
581,Quantum Key: 1f6904c508548f5a2430c8ec4b1c9a715f571e5df6394bf239b9205cf0bf7d8a,Entropy: 1.15 bits,circle,circle
582,Quantum Key: b98fa2ef2264dca79cf9d23ab32b55e517c5d6bb7ce923b8c4c70437415b6847,Entropy: 1.36 bits,rect,ellipse
583,Quantum Key: 00daed70f60a1f32bfe59fbaf16ee7f764b9ebb6107fa3a03eb78a9cd6588eb6,Entropy: 1.21 bits,ellipse,circle
584,Quantum Key: 69cd806d099a26f2ca5fde2377d55194d5aa3d0c5dce1bb35343619170d5def4,Entropy: 1.21 bits,circle,rect
585,Quantum Key: 5c6e7c6b5b0407b8ae5c92a5017fdf2681df1e46da5cd5a39951aee20af251d0,Entropy: 1.30 bits,rect,ellipse
586,Quantum Key: 4304755233b36cb0885d4a18dd059c9d3efd638f59761b3af04110aa356679ac,Entropy: 1.23 bits,circle,ellipse
587,Quantum Key: 5d7f55a37ac8282aa1231d1a97817ae9494dc589da2340c8722e034bb912f1e3,Entropy: 1.15 bits,rect,rect
588,Quantum Key: b4f1d99c705d788f14ff0e80b70e88d488382dbd0e27ceac04ec974298c9eabc,Entropy: 1.22 bits,rect,ellipse
589,Quantum Key: e3bc44a81ca99b93120da58ead6c59aae228f56bf2cb97a4be7e19b0ef9a02f2,Entropy: 1.23 bits,circle,circle
590,Quantum Key: de6942456ad090292b2049fc210c905dbbef8fe088bff759afe36cad0a41da2a,Entropy: 1.38 bits,ellipse,rect
591,Quantum Key: 603970348df8824f062e9f4e0ef42fef2f52ace86d036b3e68881262937163f6,Entropy: 1.31 bits,ellipse,rect
592,Quantum Key: 58e06be8077fe68210df9213297163ffca4e9873eb981e686836109b9959ffe1,Entropy: 1.29 bits,circle,ellipse
593,Quantum Key: e4c47111f95a070aa2a1d2d0aa0d52a3ab3a3ea02cca2499d91ea15573ec750a,Entropy: 1.45 bits,ellipse,circle
594,Quantum Key: 34eb9fac50168547003da0aed5199373f2cf0eeb10270a8b55d8499aa3c905c6,Entropy: 1.17 bits,circle,ellipse
595,Quantum Key: 543304ca6a6ed38f72d498799de5d19bd9cbd2f9f854a97ec3db561c693e861d,Entropy: 1.27 bits,circle,circle
596,Quantum Key: e4795171ae186c3547baca0306c451fc617dad728c45d8374b9352e08362002c,Entropy: 1.28 bits,ellipse,rect
597,Quantum Key: c09698583dbda53c73bf0a3c5e1fe519586ffb60b79b299e584c8ba1e91864ef,Entropy: 1.30 bits,rect,ellipse
598,Quantum Key: ee216f7df21d4b3ba3deb3280297b18e09b8770abd9c80c32f8ddbacbc5a1b86,Entropy: 1.39 bits,rect,circle
599,Quantum Key: d4cc3654268372b6378185b49f5602b417e0e8585d03f3c30a85f05555f6a245,Entropy: 1.15 bits,rect,rect
600,Quantum Key: d40abeccd1f0837b462344bdc92e5c1a03615a28e516af37a44aca02d2675289,Entropy: 1.23 bits,ellipse,ellipse
601,Quantum Key: 7bf3877b35804a7690fc48a6c3b8977b210d8a293ba1098523963513f52e2446,Entropy: 1.20 bits,rect,rect
602,Quantum Key: f514dde1946f9b75728f437fa7f987afe93ef23c5c92b31c0371ca1f1827315a,Entropy: 1.30 bits,circle,rect
603,Quantum Key: bdaabc00eb79ae83ed5ab85d981df1d1f94abbfba6d40021d78ac23e35bbe567,Entropy: 1.36 bits,circle,ellipse
604,Quantum Key: 1588ed05094b0734cc4c3102dba77b9f3b147ba1c1427f054a8344dfed741941,Entropy: 1.23 bits,ellipse,circle
605,Quantum Key: 02be2a15629577171b16f868ba6655c435e2f56eb37f9be1954d045681fee1f3,Entropy: 1.32 bits,circle,rect
606,Quantum Key: 2602d5f4a86b13937ed3a01336772b41715dcd892765a0413f135401c35dd1b2,Entropy: 1.26 bits,rect,rect
607,Quantum Key: 472c841184f14b39837c1861967ce8149843d4c1a54f7c9fec51b8f854096fe7,Entropy: 1.28 bits,ellipse,rect
608,Quantum Key: bd99905517acd94762d051bd6e913ab946d4cab7e8b4a4c190580a3d91816211,Entropy: 1.26 bits,rect,rect
609,Quantum Key: 4f184b8dff24c880e9b6fefe8d3a493f96019edbed7ed6582681c736a1bac183,Entropy: 1.24 bits,circle,rect
610,Quantum Key: 94992088451818a15b8e6c2f692a925db06133e407f896e544567f9c80c3f6b8,Entropy: 1.29 bits,circle,ellipse
611,Quantum Key: ef85a23943ca4c60955a7caf938215e6853e9322022ec6c13ef36d299848cf14,Entropy: 1.14 bits,circle,ellipse
612,Quantum Key: 48a94e68c68cbbcb7e1510c13814a7c6157d9c4ce124b50d863ad5a8fd8c2bb8,Entropy: 1.33 bits,ellipse,ellipse
613,Quantum Key: 7b27a565ed1aaf21039b9e176a6bf0b7751ff5b88bee9343631c7522211c9659,Entropy: 1.28 bits,rect,ellipse
614,Quantum Key: 728580eb5da249efaf4c9ea9308187bca634ab15ec00d50a46f94d937b4cefee,Entropy: 1.16 bits,ellipse,ellipse
615,Quantum Key: 227aa48ee68165effcf35fe17c5ccdebf93e0393f67ed1f8079bdb47fb3c980b,Entropy: 1.29 bits,rect,ellipse
616,Quantum Key: 628818a36d6affb393ad2c0fce53a07077dc7446db7066abf98060f454cc8d24,Entropy: 1.37 bits,ellipse,rect
617,Quantum Key: a3715680b9c35eef9236de1266f185a7684f5fdd8eb169bbec61306cec9dca85,Entropy: 1.24 bits,ellipse,circle
618,Quantum Key: a48e8e4b91305be5bc77dde7f6aacc7335635c42447cabe23d89379f38fbe228,Entropy: 1.21 bits,ellipse,circle
619,Quantum Key: f63c6d9f5391183d70dbcb9baf52a56193d6e96e7b92d7573de7b61af4521349,Entropy: 1.13 bits,ellipse,ellipse
